Date,Open,High,Low,Close,Volume,Market Cap
"Dec 10, 2016",7.95,8.03,7.67,7.78,"954,105","107,380,000"
"Dec 09, 2016",7.8,8.07,7.79,7.95,"1,230,840","105,361,000"
"Dec 08, 2016",7.87,8.03,7.73,7.79,"1,391,520","106,218,000"
"Dec 07, 2016",7.54,8.01,7.32,7.89,"1,800,020","101,729,000"
"Dec 06, 2016",7.91,7.96,7.16,7.54,"3,566,450","106,599,000"
"Dec 05, 2016",7.83,8.15,7.68,7.91,"2,413,870","105,539,000"
"Dec 04, 2016",8.26,8.42,7.8,7.8,"2,491,800","111,297,000"
"Dec 03, 2016",8.21,8.56,8.09,8.27,"2,100,120","110,596,000"
"Dec 02, 2016",8.5,8.5,7.92,8.23,"6,249,910","114,407,000"
"Dec 01, 2016",8.93,9.13,8.36,8.58,"5,605,070","120,142,000"
"Nov 30, 2016",7.63,9.31,7.21,8.95,"11,077,200","102,540,000"
"Nov 29, 2016",7.91,7.99,7.48,7.6,"2,468,920","106,266,000"
"Nov 28, 2016",7.92,8.08,7.78,7.89,"1,931,140","106,354,000"
"Nov 27, 2016",7.63,8.12,7.59,7.93,"2,604,180","102,503,000"
"Nov 26, 2016",7.55,7.81,7.4,7.62,"1,632,680","101,260,000"
"Nov 25, 2016",7.79,7.8,7.33,7.54,"2,450,680","104,451,000"
"Nov 24, 2016",7.94,8.37,7.58,7.81,"5,756,150","106,374,000"
"Nov 23, 2016",7.66,8.11,7.56,7.91,"4,170,450","102,688,000"
"Nov 22, 2016",6.81,8.24,6.78,7.69,"9,996,320","91,147,700"
"Nov 21, 2016",6.58,6.88,6.56,6.8,"1,586,190","88,051,400"
"Nov 20, 2016",6.56,6.88,6.43,6.58,"3,534,630","87,683,700"
"Nov 19, 2016",6.72,6.86,6.46,6.55,"2,490,080","89,815,300"
"Nov 18, 2016",6.77,7.1,6.53,6.72,"3,854,500","90,440,300"
"Nov 17, 2016",6.55,6.97,6.22,6.79,"4,696,950","87,494,100"
"Nov 16, 2016",7.34,7.47,6.12,6.58,"9,338,200","98,031,100"
"Nov 15, 2016",7.74,7.92,7.2,7.3,"3,711,090","103,302,000"
"Nov 14, 2016",7.11,8.13,7.09,7.71,"5,270,540","94,853,000"
"Nov 13, 2016",7.42,8.11,6.97,7.1,"8,454,760","98,823,800"
"Nov 12, 2016",6.82,7.68,6.63,7.44,"7,239,650","90,900,300"
"Nov 11, 2016",6.15,6.98,5.89,6.78,"4,256,380","81,900,600"
"Nov 10, 2016",6.19,6.48,6.01,6.1,"3,175,600","82,319,000"
"Nov 09, 2016",6.31,6.54,5.58,6.19,"8,149,530","83,854,100"
"Nov 08, 2016",5.77,6.82,5.72,6.32,"9,416,390","76,635,700"
"Nov 07, 2016",4.97,5.85,4.92,5.74,"3,690,120","65,964,200"
"Nov 06, 2016",4.98,5.03,4.88,4.97,"666,680","66,184,500"
"Nov 05, 2016",4.83,5.02,4.82,5.02,"602,968","64,117,100"
"Nov 04, 2016",4.86,5.12,4.7,4.85,"2,611,470","64,488,800"
"Nov 03, 2016",4.54,5.27,4.51,4.89,"4,438,690","60,240,900"
"Nov 02, 2016",4.73,5.01,4.38,4.51,"2,473,050","62,649,500"
"Nov 01, 2016",5.1,5.24,4.56,4.71,"3,841,800","67,571,600"
"Oct 31, 2016",5.54,5.61,4.84,5.12,"3,111,700","73,317,000"
"Oct 30, 2016",5.14,5.7,4.81,5.57,"5,648,010","68,011,700"
"Oct 29, 2016",5.72,5.84,4.28,5.14,"10,900,200","75,631,700"
"Oct 28, 2016",6.22,6.35,5.63,5.73,"3,034,820","82,158,200"
"Oct 27, 2016",6.17,6.38,5.99,6.21,"2,043,670","81,425,600"
"Oct 26, 2016",6.09,6.21,5.82,6.17,"1,630,120","80,429,200"
"Oct 25, 2016",6.42,6.43,5.77,6.09,"2,973,160","84,707,300"
"Oct 24, 2016",6.51,6.61,6.41,6.42,"628,370","85,860,100"
"Oct 23, 2016",6.52,6.69,6.45,6.51,"561,283","85,978,900"
"Oct 22, 2016",6.79,6.81,6.24,6.52,"2,274,680","89,371,800"
"Oct 21, 2016",6.59,6.91,6.43,6.78,"1,960,270","86,682,400"
"Oct 20, 2016",6.63,7.2,6.48,6.56,"2,510,020","87,199,300"
"Oct 19, 2016",6.57,7.13,6.49,6.62,"2,304,340","86,328,800"
"Oct 18, 2016",6.29,6.79,6.08,6.57,"2,342,430","82,636,300"
"Oct 17, 2016",6.39,6.41,5.7,6.28,"3,659,990","83,992,100"
"Oct 16, 2016",6.57,6.63,6.12,6.38,"2,548,440","86,233,800"
"Oct 15, 2016",6.92,6.93,6.45,6.56,"1,709,700","90,768,800"
"Oct 14, 2016",6.94,7.18,6.83,6.92,"1,682,900","90,958,000"
"Oct 13, 2016",7.28,7.31,6.78,6.91,"2,079,340","95,353,000"
"Oct 12, 2016",7.28,7.62,7.17,7.31,"2,034,800","95,343,700"
"Oct 11, 2016",6.92,7.74,6.6,7.28,"5,966,020","90,612,500"
"Oct 10, 2016",7.56,7.59,6.78,6.94,"3,179,780","98,958,700"
"Oct 09, 2016",6.9,7.69,6.89,7.48,"2,820,040","90,201,300"
"Oct 08, 2016",6.89,7.18,6.62,6.88,"1,795,650","90,046,400"
"Oct 07, 2016",7.19,7.67,6.56,6.89,"4,458,730","93,848,400"
"Oct 06, 2016",6.71,7.29,6.37,7.18,"4,738,590","87,617,200"
"Oct 05, 2016",7.66,7.66,6.13,6.76,"9,101,390","99,903,600"
"Oct 04, 2016",7.95,8.12,7.45,7.65,"2,425,600","103,654,000"
"Oct 03, 2016",8.31,8.55,7.82,7.95,"3,249,380","108,330,000"
"Oct 02, 2016",7.33,8.48,7.32,8.3,"4,709,360","95,507,100"
"Oct 01, 2016",8.42,8.42,7.17,7.36,"8,319,930","109,642,000"
"Sep 30, 2016",8.65,8.66,7.99,8.41,"5,300,920","112,519,000"
"Sep 29, 2016",9.4,9.41,8.32,8.71,"5,237,580","122,202,000"
"Sep 28, 2016",9.33,9.5,9.19,9.4,"1,900,470","121,268,000"
